group,names,scores,logfoldchanges,pvals,pvals_adj
8,LRRN2,-0.003843924,0.72644085,0.9969329998306377,0.9990280404479022
8,PHF21B,-0.004582128,0.6046028,0.9963440036111436,0.9990280404479022
8,GLT6D1,-0.0045860014,0.18679006,0.9963409132472095,0.9990280404479022
8,KRTAP4-7,-0.005001098,-14.366136,0.9960097178673778,0.9990280404479022
8,SBSN,-0.005280367,0.42629993,0.9957868962080251,0.9990280404479022
8,HAND1,-0.005418835,0.44637886,0.9956764161175501,0.9990280404479022
8,CYP1A2,-0.005693571,0.5006911,0.9954572120659866,0.9990280404479022
8,CACNA1E,-0.005695596,0.37322086,0.9954555966576953,0.9990280404479022
8,CCL19,-0.005755411,0.49458194,0.995407871886392,0.9990280404479022
8,TAF11L4,-0.005974425,0.9430494,0.9952331270227432,0.9990280404479022
8,UGT1A5,-0.005974733,0.29572025,0.995232881200144,0.9990280404479022
8,PLA2G4D,-0.005975173,-0.16431521,0.9952325300250029,0.9990280404479022
8,KRTAP9-4,-0.006112453,-14.318236,0.9951229985439312,0.9990280404479022
8,HOXC5,-0.006247444,0.7395104,0.9950152932624483,0.9990280404479022
8,LCN8,-0.0065300143,0.82666004,0.9947898393993556,0.9990280404479022
8,H2BW2,-0.0066681304,-14.357996,0.9946796410725949,0.9990280404479022
8,ZNF157,-0.0066681304,-14.615016,0.9946796410725949,0.9990280404479022
8,ARHGAP22,-0.007459239,0.5306163,0.9940484433707184,0.9990280404479022
8,OTOP2,-0.0075037815,0.46701697,0.9940129048066879,0.9990280404479022
8,CRHR1,-0.0075044855,0.5085375,0.994012342932253,0.9990280404479022
8,CSAG1,-0.0076418975,-0.1798784,0.9939027072403008,0.9990280404479022
8,KCNN1,-0.008177989,0.9073519,0.9934749816695859,0.9990280404479022
8,GTF2A1L,-0.008200084,-1.2906971,0.99345735295393,0.9990280404479022
8,FOXD4L1,-0.008335163,-14.537437,0.993349579062848,0.9990280404479022
